"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125"
"X.6","  1","  2","  3","  4","  5","  6","  7","  8","  9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"," 22"," 23"," 24"," 25"," 26"," 27"," 28"," 29"," 30"," 31"," 32"," 33"," 34"," 35"," 36"," 37"," 38"," 39"," 40"," 41"," 42"," 43"," 44"," 45"," 46"," 47"," 48"," 49"," 50"," 51"," 52"," 53"," 54"," 55"," 56"," 57"," 58"," 59"," 60"," 61"," 62"," 63"," 64"," 65"," 66"," 67"," 68"," 69"," 70"," 71"," 72"," 73"," 74"," 75"," 76"," 77"," 78"," 79"," 80"," 81"," 82"," 83"," 84"," 85"," 86"," 87"," 88"," 89"," 90"," 91"," 92"," 93"," 94"," 95"," 96"," 97"," 98"," 99","100","101","102","103","104","105","106","107","108","109","110","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample","order","family","genus","species","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G053","G054","G055","G056","G057","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G099","G100","G101","G102","G103","G104","G107","G108","G110","G111","G112","G113","G114","G115","G118","G119","G120","G122","G123","G126","G135","G136","G137","G138","G139","G164","G165","G169","G170","G186","G187","G188","G189","G191","","","","","","","","","","","","","",""
"Sphyrna.lewini.1","Carcharhiniformes","Carcharhinidae","Sphyrna","Sphyrna lewini","0","0","0","4","0","1","1","2","1","2","0","4","0","3","12","0","0","1","0","4","0","1","8","1","2","1","0","3","0","2","9","0","0","1","0","2","0","3","3","2","0","2","0","3","0","3","5","1","1","1","0","5","0","1","12","0","4","3","10","1","3","3","4","6","1","5","8","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Stegastes.arcifrons.1","Actinopteri class","Pomacentridae","Stegastes","Stegastes arcifrons","1","0","0","0","5","0","0","0","3","21835","0","1","3","0","3","0","5","2","0","8849","7","0","2","0","29320","5","2","3","6","1","5","1","21","0","0","0","1","0","2","0","4","0","0","2","3","5","36638","0","3","4","0","1","11","0","2","1","57697","27","2","1","5","2","0","0","2","0","4","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Mugil.thoburni.1","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","22050","9","43","8001","5","4","6","5","3","5","0","116","0","263","1","0","2","6","2544","1","1","10","1","0","3","35437","3","4","6","350","4","1","3","9","1","19538","9","8436","29743","5","31","375","0","3","0","25","56","0","3","33676","0","5","28882","27","9","1","87","138","175","0","3","6","119","4","2","735","414","0","4","3","6","6","0","5","56","9","229","0","1","0","0","6549","32","1937","2910","3715","29914","0","250","10196","55","0","0","0","0","69","0","1615","17","0","8","0","20","49","0","0","0","","","","","","","","","","","","","",""
"Mugil.cephalus.1","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","1544","1","0","1291","1","0","337","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","414","0","1","17","0","0","646","0","0","0","0","0","1","0","0","142","0","0","0","2157","0","0","0","1","2","0","0","0","0","0","0","0","1","0","77","0","177","0","0","70","0","110","33","0","0","0","0","735","0","0","0","0","0","0","0","0","0","0","0","299","7","0","0","0","0","0","0","12100","0","0","0","0","0","30","0","0","1113","124","1769","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Decapterus.genus.1","Carangiformes","Carangidae","Decapterus","Decapterus genus","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","27594","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Hemiramphus.lutkei.1","Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus lutkei","1","14950","22320","5","9151","10","6","2","0","1","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","2","0","1","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135","","","","","","","","","","","","","",""
"Stegastes.beebei.1","Actinopteri class","Pomacentridae","Stegastes","Stegastes beebei","0","0","2","6","2","0","0","0","0","0","1","9","9158","4","6","0","2","18163","12","10","18649","320","16","2","1","4","39116","7","3","0","3","1","0","0","23","2","2","0","4","0","0","2","2","8","6","0","4","0","0","1","4","5","861","0","3","0","3","1","5","3","2","4","4","71080","11","5","57304","2","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Sphoeroides.annulatus.1","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","37167","7","1","2","3","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","130","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","","","","","","","","","",""
